,date_heure,date,heure,effacement_necessaire,total_eolien_offshore,consommation,nucleaire_base,nucleaire_flexible,hydraulique,solaire,eolien_onshore,bioenergies,charbon,gaz,petrole,importations,exportations,soldes_echanges,step_decharge,step_charge,thermique_decharge,thermique_charge,effacement_potentiel_solaire,effacement_potentiel_eolien_onshore,effacemet_potentiel_eolien_offshore,batterie_decharge,batterie_charge,pertes,need,stock_batteries
46,2023-01-02-22,2023-01-02,22:00,0.0,28791.250000000004,71720.43,0.0,0.0,7045.432861181028,0.0,53852.7234173522,1077.0,0.0,0.0,0.053500000000000006,0.0,0.0,0.0,0.0,6292.377839035922,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,6353.651939497327,-12692.377839035922,1.0
47,2023-01-02-23,2023-01-02,23:00,0.0,28616.875,74487.66,0.0,0.0,8304.252014915799,0.0,55071.71040431985,1081.0,0.0,0.0,0.053500000000000006,0.0,0.0,0.0,0.0,5671.058799889139,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,6515.1721193464955,-12071.058799889139,1.0
48,2023-01-03-00,2023-01-03,00:00,0.0,28151.875,73559.7,0.0,0.0,7378.732765803714,0.0,57451.384928553154,1091.0,0.0,0.0,0.053500000000000006,0.0,1128.2332057518834,1128.2332057518834,0.0,6400.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,6585.112988604981,-13928.233205751883,1.0
49,2023-01-03-01,2023-01-03,01:00,0.0,27624.875,68042.445,0.0,0.0,7426.750545613925,0.0,58453.07416317087,1074.0,0.0,0.0,0.053500000000000006,0.0,4972.938586312699,4972.938586312699,0.0,6400.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,6620.512479614937,-16644.705380560816,1.0
50,2023-01-03-02,2023-01-03,02:00,0.0,27326.5,66084.405,0.0,0.0,7172.538755991994,0.0,58612.072465818834,1073.0,0.0,0.0,0.053500000000000006,0.0,6564.011293426916,6564.011293426916,0.0,6400.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,6592.891285526759,-14391.072707114217,1.0
51,2023-01-03-03,2023-01-03,03:00,0.0,27559.0,63086.85,0.0,0.0,6796.870219765651,0.0,55734.20329198388,1060.0,0.0,0.0,0.053500000000000006,0.0,6739.911223069921,6739.911223069921,0.0,6400.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,6380.508645822468,-12975.899929643005,1.0
52,2023-01-03-04,2023-01-03,04:00,0.0,28256.500000000004,60495.555,0.0,0.0,6681.062621367796,0.0,53078.93172584176,1039.0,0.0,0.0,0.053500000000000006,0.0,7383.24760004774,7383.24760004774,0.0,6400.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,6233.8881043046695,-13443.336376977819,1.0
53,2023-01-03-05,2023-01-03,05:00,0.0,28841.625,60416.189999999995,0.0,0.0,6357.177957071208,0.0,51033.15361314768,1070.0,0.0,0.0,0.053500000000000006,0.0,7383.24760004774,7383.24760004774,0.0,4848.574867398693,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,6111.140459915323,-11248.574867398693,1.0
54,2023-01-03-06,2023-01-03,06:00,0.0,29039.25,64136.355,0.0,0.0,6906.087131886199,0.0,48059.88544170965,1050.0,0.0,0.0,0.053500000000000006,0.0,7383.24760004774,7383.24760004774,0.0,0.0,0.0,5438.947250539251,0.0,0.0,0.0,0.0,0.0,5953.86908015171,-5438.947250539251,1.0
55,2023-01-03-07,2023-01-03,07:00,-6.821210263296962e-13,29000.5,70026.01500000001,0.0,0.0,7316.592115477113,0.0,45934.608217727386,1008.0,0.0,159.98640000000003,30.067000000000004,0.0,7383.24760004774,7383.24760004774,0.0,0.0,1942.97843302473,0.0,0.0,6.821210263296962e-13,0.0,0.0,0.0,5840.612423324315,2120.54843302473,1.0
56,2023-01-03-08,2023-01-03,08:00,0.0,28186.750000000004,74905.575,0.0,0.0,7872.091956514925,0.0,47275.49387937032,992.0,0.0,319.97280000000006,60.08050000000001,0.0,7383.24760004774,7383.24760004774,0.0,0.0,3510.1402726744623,0.0,0.0,0.0,0.0,0.0,0.0,5927.706808511967,3687.7102726744624,1.0
57,2023-01-03-09,2023-01-03,09:00,9.094947017729282e-13,26237.625,77098.93500000001,0.0,0.0,8410.64435293307,506.3097845874785,46793.19903601201,986.0,0.0,399.966,90.09400000000001,0.0,7383.24760004774,7383.24760004774,0.0,0.0,6895.768898662477,0.0,0.0,0.0,0.0,0.0,0.0,5837.4244721472805,6998.5788986624775,1.0
58,2023-01-03-10,2023-01-03,10:00,-3.410605131648481e-13,24160.624999999996,78721.20000000001,0.0,0.0,9358.760214925864,7956.2976722450585,50762.85650665331,994.0,0.0,239.9796,60.08050000000001,0.0,7383.24760004774,7383.24760004774,0.0,0.0,0.0,882.2440362087688,0.0,3.410605131648481e-13,0.0,0.0,0.0,6545.907857567698,-1059.8140362087688,1.0
59,2023-01-03-11,2023-01-03,11:00,3.637978807091713e-12,22668.75,79552.035,0.0,0.0,8920.951008318432,18733.46449676763,52548.93738368192,993.0,0.0,79.9932,30.067000000000007,0.0,7383.24760004774,7383.24760004774,0.0,5504.980229363617,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,7277.75740221376,-12082.550229363616,1.0
