tranche_horaire;consommation;gaz cogénérations;hydraulique;éolien onshore;solaire;biomasse;annee
132;0.000133483;0.59401738;0.456666667;0.057982526;0.100269731;0.559;2018
133;0.000137096;0.591911765;0.507887324;0.061159651;0.125014659;0.556;2018
134;0.000130381;0.594485294;0.451690141;0.069896743;0.114811774;0.5605;2018
135;0.000125558;0.592379679;0.39600939;0.084127615;0.080684883;0.561;2018
136;0.000122978;0.587700535;0.416713615;0.106036537;0.037410578;0.563;2018
137;0.000123889;0.592613636;0.423755869;0.123113582;0.005511903;0.563;2018
138;0.000133005;0.590508021;0.526995305;0.156208631;-0.000234549;0.563;2018
139;0.000137476;0.590741979;0.540610329;0.187053217;-0.000117275;0.559;2018
140;0.000134911;0.592145722;0.467464789;0.220413026;-0.000117275;0.556;2018
141;0.000128541;0.593315508;0.429624413;0.25708234;-0.000234549;0.56;2018
142;0.000123628;0.593315508;0.387042254;0.296399259;-0.000234549;0.5585;2018
143;0.000131447;0.591209893;0.420892019;0.324662431;-0.000234549;0.5565;2018
144;0.000130679;0.588402406;0.388262911;0.348755626;-0.000234549;0.56;2018
145;0.000121207;0.58980615;0.366948357;0.390720148;-0.000234549;0.558;2018
146;0.000118353;0.58980615;0.350892019;0.437053217;-0.000234549;0.5535;2018
147;0.000112223;0.590975936;0.350751174;0.487159121;-0.000234549;0.5545;2018
148;0.000107367;0.579979947;0.343474178;0.519658459;-0.000234549;0.552;2018
149;0.000105422;0.572727273;0.345539906;0.549841144;-0.000234549;0.555;2018
150;0.000106978;0.57459893;0.345774648;0.57400053;-0.000117275;0.5525;2018
151;0.000109441;0.579512032;0.343755869;0.588231401;-0.000234549;0.5505;2018
152;0.000112783;0.579512032;0.35342723;0.63522637;-0.000234549;0.546;2018
153;0.000115782;0.58138369;0.357511737;0.638602065;0.005394629;0.5435;2018
154;0.000122471;0.594719251;0.366150235;0.647736299;0.032367773;0.543;2018
155;0.000127973;0.590975936;0.365399061;0.671763304;0.070130175;0.547;2018
156;0.000133098;0.591911765;0.391032864;0.668519989;0.096399672;0.548;2018
157;0.000137386;0.587934492;0.417276995;0.647802489;0.10695438;0.547;2018
158;0.000130023;0.588870321;0.376807512;0.633439237;0.094406004;0.5425;2018
159;0.000124499;0.591911765;0.358544601;0.606168917;0.075642078;0.545;2018
160;0.000122644;0.592613636;0.36713615;0.589886153;0.033892342;0.5465;2018
161;0.000122989;0.594719251;0.367887324;0.586510458;0.00516008;0.5395;2018
162;0.000132561;0.597058824;0.406056338;0.569234842;-0.000117275;0.5405;2018
163;0.000139461;0.597292781;0.424460094;0.549510193;-0.000117275;0.5345;2018
164;0.000138383;0.588870321;0.431126761;0.536404554;-0.000117275;0.5395;2018
165;0.000132679;0.587700535;0.393943662;0.49986762;-0.000234549;0.5295;2018
166;0.000127125;0.589572193;0.387887324;0.445062219;-0.000234549;0.5315;2018
167;0.000133226;0.601971925;0.388920188;0.404951019;-0.000234549;0.5415;2018
168;0.000131737;0.602673797;0.404037559;0.391713;-0.000234549;0.5355;2018
169;0.000123277;0.602673797;0.36399061;0.397736299;-0.000234549;0.535;2018
170;0.00012139;0.59986631;0.355633803;0.386219222;-0.000234549;0.5335;2018
171;0.000116614;0.599632353;0.351502347;0.368678846;-0.000234549;0.532;2018
172;0.000112333;0.59986631;0.355962441;0.352991792;-0.000234549;0.5395;2018
173;0.000113859;0.604311497;0.359859155;0.339621393;-0.000234549;0.5355;2018
174;0.000122694;0.60828877;0.365258216;0.334657135;-0.000234549;0.53;2018
